type,id,lat,lon
node,2130982943,24.7886448,121.0009459
node,2130982950,24.787465,120.9974265
node,2130982962,24.7889537,120.9970202
node,2130982964,24.7851957,121.0002299
node,2130982975,24.7840664,120.996713
node,2130982987,24.7865064,120.9975576
node,2130983009,24.7879619,121.0007969
node,2130983020,24.7878454,121.0004912
node,2130983041,24.7858709,120.9981361
node,2130983043,24.7873665,120.9981509
node,2130983045,24.786278,120.9981329
node,2130983050,24.786381,120.9975566
node,2130983056,24.7894894,120.9976515
node,2130983065,24.7857721,120.99663
node,2130983072,24.7845555,120.9967652
node,2130983092,24.7840443,120.9977154
node,2130983101,24.7837909,120.9947849
node,2130983105,24.7886911,120.9988806
node,2130983107,24.7903892,120.9957826
node,2130983109,24.7877821,120.997341
node,2130983110,24.7864008,120.9960794
node,2130983126,24.7890495,121.0005397
node,2130983131,24.7873977,121.0009869
node,2130983133,24.7874529,121.0001284
node,2130983136,24.7880761,121.0006658
node,2130983138,24.7869478,120.9987292
node,2130983148,24.788932,120.9972067
node,2130983177,24.7843448,120.9960614
node,2130983211,24.7874297,121.0001297
node,2269953462,24.7904699,120.9915287
node,2270099690,24.7842955,120.9932789
node,2270099691,24.7849438,120.9941836
node,2270099706,24.7832131,121.0014302
node,2270099707,24.7840015,121.0017611
node,2270099708,24.7838426,121.0023805
node,2270143906,24.7842976,120.9931177
node,2270143907,24.7842219,120.9932078
node,2291436800,24.7875231,121.0020071
node,2291436881,24.789799,120.9945521
node,2294837311,24.7870909,120.9911501
node,2294837366,24.7879229,120.9921448
node,2294837399,24.7881693,120.9915918
node,2294837411,24.7882273,120.9918205
node,2294837421,24.7882531,120.9915459
node,2294837433,24.7883158,120.9924283
node,2294837435,24.7883533,120.9915887
node,2294837445,24.7884539,120.9917036
node,2294837472,24.7888778,120.9925936
node,2294837474,24.788937,120.9918296
node,2294837482,24.7893339,120.9915915
node,2294837488,24.7894988,120.9915866
node,2294837515,24.7900091,120.9913018
node,2338326009,24.7889451,120.9916479
node,2345585754,24.7886434,120.9913608
node,2345585777,24.7886988,120.991182
node,2578036749,24.7861365,121.0020599
node,2578036766,24.786214,121.0020212
node,2578036768,24.7862398,121.0019921
node,2578036769,24.786262,121.0019684
node,2578036771,24.7862953,121.001929
node,2578036782,24.787223,121.0017948
node,2578036918,24.7901883,120.992465
node,2578036925,24.7901781,120.9916725
node,2578036927,24.7901876,120.9925171
node,2617871629,24.7830022,121.0021901
node,2624965633,24.784561,120.9985463
node,2624965634,24.7845616,120.9981948
node,2624965636,24.7847267,120.9981961
node,2624965637,24.7847145,120.9985453
node,2624965639,24.78489,120.9981973
node,2624965646,24.7857135,120.9946941
node,2624965654,24.7859787,120.9946794
node,2624965657,24.7860811,120.9952268
node,2624965659,24.7861473,120.9957047
node,2624965661,24.7861577,120.9952275
node,2624965662,24.7861588,120.9946302
node,2624965666,24.7862636,120.995294
node,2624965668,24.7863129,120.9952253
node,2624965669,24.7863204,120.9946225
node,2624965672,24.7864744,120.9952964
node,2624965677,24.7866061,120.9953038
node,2624965700,24.7877618,121.0012505
node,2624965708,24.7879554,121.0012684
node,2624965716,24.7883939,120.9988784
node,2624965718,24.7884705,120.9993338
node,2624965720,24.7885574,120.9988796
node,2625226859,24.7849889,120.9943014
node,2625226861,24.7851911,120.99483
node,2627912592,24.7842337,120.9952565
node,2627912598,24.7870892,120.9990105
node,2627912599,24.7875302,120.9995602
node,2628540297,24.7822617,120.9958978
node,2628540300,24.7824618,120.9960586
node,2628540302,24.782788,120.9963102
node,2628540303,24.782945,120.9960676
node,2628540304,24.7830648,120.995887
node,2628540306,24.7831608,120.9957405
node,2628540307,24.7832859,120.9960717
node,2631338128,24.7837682,120.9941258
node,2631338131,24.7841708,120.9940842
node,2631338135,24.7847596,120.9938464
node,2631338139,24.785533,120.9970061
node,2631338141,24.7856868,120.9970051
node,2631338146,24.7861179,120.9970283
node,2631338147,24.7862372,120.9970328
node,2631338158,24.7874541,121.0017345
node,2631338163,24.7876889,120.9984091
node,2631338165,24.7877435,121.0017336
node,2631338167,24.7877533,120.9981825
node,2631338174,24.7880133,120.9984195
node,2631338175,24.7880185,120.9981811
node,2631338176,24.7880192,120.9979072
node,2631338177,24.7880296,121.0017326
node,2631338189,24.7882997,120.9962002
